Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
LatinSat B,NR,Aprize Satellites Argentina,Argentina,Commercial,Communications,,LEO,Non-Polar Inclined,0,603,717,0.00811,64.6,97.9,,12,,12/20/2002,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058B,27606
Lemur-1,USA,Spire Global Inc.,USA,Commercial,Technology Development,,LEO,Sun-Synchronous,0,612,697,0.00605,97.98,97.82,4,,,6/19/2014,,NanoSatisfi Inc.,USA,Dombarovsky Air Base,Dnepr,2014-033AL,40044
Lemur-2 Chris,NR,Spire Global Inc.,USA,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,635,649,0.000998,6,97.57,10,,,9/28/2015,,Spire Global,USA,Satish Dhawan Space Center,PSLV C-30,2015-052G,40936
Lemur-2Jeroen,NR,Spire Global Inc.,USA,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,635,649,0.000998,6.01,97.57,10,,,9/28/2015,,Spire Global,USA,Satish Dhawan Space Center,PSLV C-30,2015-052F,40935
Lemur-2 Joel,NR,Spire Global Inc.,USA,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,629,649,0.00143,6,97.49,10,,,9/28/2015,,Spire Global,USA,Satish Dhawan Space Center,PSLV C-30,2015-052D,40933
Lemur-2 Peter,NR,Spire Global Inc.,USA,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,634,650,0.00114,6.01,97.56,10,,,9/28/2015,,Spire Global,USA,Satish Dhawan Space Center,PSLV C-30,2015-052E,40934
LilacSat-2,NR,Harbin Institute/China Amateur Satellite - CAMSAT,China,Civil,Technology Development,,LEO,Sun-Synchronous,0,520,541,0.00152,97.47,95.24,11,,,9/19/2015,,Harbin Institute of Technology,China,Taiyuan Launch Center,Long March 6,2015-049K,40908
Ling Qiao,NR,Xinwei Telecom Technology Company,China,Commercial,Technology Development,,LEO,Sun-Synchronous,0,779,808,0.00202,98.47,100.73,100,,,9/4/2014,,Xinwei Telecom Technology Co/Tsinghua University,China,Jiuquan Satellite Launch Center,Long March 2D,2014-051A,40136
Lingqiao-A,NR,Changchun Institute of Optics,China,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,664,0.00178,98.04,97.75,95,,,10/7/2015,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057B,40959
Lingqiao-B,NR,Changchun Institute of Optics,China,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,663,0.00171,98.04,97.74,95,,,10/7/2015,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057C,40960
LMRSTSat,NR,NASA Jet Propulsion Laboratory,USA,Government,Technology Demonstration,,LEO,Non-Polar Inclined,0,493,800,0.0219,64.78,97.65,3,,,10/8/2015,,NASA Jet Propulsion Laboratory,USA,Cape Canaveral,Atlas 5,2015-058H,40971
Long Excursion 1,NR,,China,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2455,Russia,Ministry of Defense,Russia,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,900,911,0.000756,67.2,103.1,5000,,,11/20/2009,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,2009-063A,36095
Cosmos 2502,Russia,Ministry of Defense,Russia,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,901,910,0.000619,67.15,103.11,5000,,,12/23/2014,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2-1b,2014-086A,40358
LQSat,NR,Changchun Institute of Optics,China,Commercial,Earth Observation,Technology Development,LEO,Sun-Synchronous,0,640,663,0.00164,98.04,97.77,55,,,10/7/2015,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057A,40958
Luch 5A,Russia,Russian Federal Space Agency,Russia,Government,Communications,,GEO,,,35778,35793,0.000178,4.85,1436.8,950,,,12/11/2011,, ISS Reshetnev/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2011-074B,37951
Luch 5B,Russia,Russian Federal Space Agency,Russia,Government,Communications,,GEO,,-16,35772,35801,0.000344,0.22,1436.09,1282,950,,11/2/2012,,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2012-061A,38977
Luch 5V,Russia,Russian Federal Space Agency,Russia,Government,Communications,,GEO,,95,35767,35802,0.000415,4.76,1435.99,1148,950,2200,4/28/2014,10,OAO Rešetněva,Russia,Baikonur Cosmodrome,Proton M,2014-023A,39727
Luch/Olympus,Russia,Ministry of Defense,Russia,Military,Communications,,GEO,,95,35781,35793,0.000142,0.05,1436.12,,,,9/27/2014,15,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2014-058A,40258
M3MSat,NR,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Canada,Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,501,515,0.00102,97.5,94.7,85,,,6/22/2016,,Com Dev International (Honeywell Canada),Canada,Satish Dhawan Space Center,PSLV XL,2016-040G,41605
Maroc Tubsat,NR,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Morocco/Germany,Government,Technology Development,,LEO,Sun-Synchronous,0,984,1014,0.00204,99.2,105.1,47,,56,12/10/2001,2-3,CRTS Morocco/Institut für Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,2001-056D,27004
M-Cubed/E1P-U2,USA,University of Michigan/Montana University,USA,Civil,Technology Development,,LEO,Polar,0,442,724,0.0203,101.7,97.45,2,,,10/28/2011,,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,2011-061F,37855
Measat 2,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Malaysia,Commercial,Communications,,GEO,,148,35782,35791,0.000107,1.09,1436.12,1450,650,"1,200 (BOL)",11/14/1996,11.5,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-063B,24653
Measat 3,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Malaysia,Commercial,Communications,,GEO,,91.54,35778,35794,0.00019,0,1436.1,4900,3220,10800,12/11/2006,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton M,2006-056A,29648
Measat 3A,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Malaysia,Commercial,Communications,,GEO,,91.5,35728,35788,0.000712,0.04,1434.6,2417,,,6/21/2009,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-032A,35362
Measat 3B,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Malaysia,Commercial,Communications,,GEO,,91.5,35772,35802,0.000356,0.05,1436.11,5800,,16000,9/11/2014,15,Airbus Defence and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2014-054B,40147
Megha-Tropiques,India,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),India/France,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,853,868,0.00104,20,102.2,1000,,,10/12/2011,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2011-058A,37838
USA 105,USA,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,Electronic Intelligence,GEO,,-27.95,35598,35976,0.00448,5.1,1436.13,8000,4000,,8/27/1994,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223
USA 118,USA,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,Electronic Intelligence,GEO,,-23.51,33674,37900,0.0501,7.33,1436.12,8000,4000,,4/24/1996,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855
USA 250,USA,National Reconnaissance Office (NRO)/USAF,USA,Military,Earth Observation,Electronic Intelligence,GEO,,0,35500,35500,0,7,1436,3900,,,4/10/2014,,Unknown,USA,Cape Canaveral,Atlas 5,2014-020A,39652
Meridian-3,Russia,Military Space Forces (VKS),Russia,Military,Communications,,Elliptical,Molniya,0,2253,38105,0.675,62.85,645.98,2500,,,11/2/2010,,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2010-058A,37212
Meridian-4,Russia,Military Space Forces (VKS),Russia,Military,Communications,,Elliptical,Molniya,0,1722,38637,0.695,64.47,717.88,2500,,,5/4/2011,,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2011-018A,37398
Meridian-6,Russia,Military Space Forces (VKS),Russia,Military,Communications,,Elliptical,Molniya,0,1494,38860,0.704,63.77,718.04,2500,,,11/14/2012,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2012-063A,38995
Meridian-7,Russia,Military Space Forces (VKS),Russia,Military,Communications,,Elliptical,Molniya,0,962,39398,0.724,62.82,717.88,2500,,,10/30/2014,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2014-069A,40296
Meteor-M N-2,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Russia,Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,819,828,0.000626,98.81,101.3,2778,,,7/8/2014,5,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2-1b,2014-037A,40069
Meteosat 10,EUMETSAT,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,0,35784,35791,8.3E-05,1.8,1436.15,2000,,,7/5/2012,7,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2012-035B,38552
Meteosat 11,EUMETSAT,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,0,35791,35795,4.74E-05,3.1,1436.1,2000,1200,,7/15/2015,12,Thales Alen,France/Italy,Guiana Space Center,Ariane 5 ECA,2015-034A,40732
Meteosat 7,EUMETSAT,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,-57.85,35770,35797,0.00032,4.71,1435.96,696,320,200,9/2/1997,5,Alcatel,France,Guiana Space Center,Ariane 5,1997-049B,24932
Meteosat 8,EUMETSAT/ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,9.27,35781,35793,0.000142,0.46,1436.1,2000,1000,700,8/21/2002,12,Alcatel,France,Guiana Space Center,Ariane 5,2002-040B,27509
Meteosat 9,EUMETSAT,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational,Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,-0.02,35775,35795,0.000237,0.29,1436,2000,1000,700,12/21/2005,12,Alcatel/Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,2005-049B,28912
MetOp-A,EUMETSAT,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Multinational,Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,820,821,6.95E-05,98.7,101.3,4193,3750,,10/19/2006,5,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat (Soyuz 2),2006-044A,29499
MetOp-B,EUMETSAT,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Multinational,Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,819,822,0.000209,98.7,101.3,4085,,,9/17/2012,5,EADS-Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2-1a,2012-049A,38771
Mexsat-3,Mexico,Mexico Telecomm,Mexico,Government/Military,Communications,,GEO,,-114.9,35784,35791,8.3E-05,0.07,1436.16,2900,,3500,12/19/2012,15,Orbital Sciences Corp.,USA,Guiana Space Center,Atlas 5 ECA,2012-075B,39035
Mexsat-2,NR,Mexico Telecomm,Mexico,Government,Communications,,GEO,,-116.8,35767,35805,0.000451,7.12,1436,5325,,,10/2/2015,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-056A,40946
MICROSCOPE,NR,Centre National d'Etudes Spatiales (CNES),ESA,Government,Space Science,,LEO,,0,711,715,0.000282,98.23,99,300,,,4/25/2016,1 yr.,CNES,France,Guiana Space Center,Soyuz 2.1a,2016-025B,41457
MVL-300,NR,Moscow State University,Russia,Civil/Government,Space Science,,LEO,Sun-Synchronous,0,469,487,0.00131,97.27,94,645,,,4/27/2016,3,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026A,41464
USA 99,USA,US Air Force,USA,Military,Communications,,GEO,,-38.9,35754,35819,0.000771,5.99,1436.13,4536,,8000,2/7/1994,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,1994-009A,22988
USA 115,USA,US Air Force,USA,Military,Communications,,GEO,,3.94,35765,35809,0.000522,0.35,1436.13,4536,,8000,11/6/1995,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,1995-060A,23712
USA 157,USA,US Air Force,USA,Military,Communications,,GEO,,-67.9,35764,35768,4.75E-05,4.5,1435.04,4536,,8000,2/27/2001,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2001-009A,26715
USA 164,USA,US Air Force,USA,Military,Communications,,GEO,,3.92,35753,35820,0.000795,3.45,1436.12,4536,,8000,1/16/2002,12 hrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2002-001A,27168
USA 169,USA,US Air Force,USA,Military,Communications,,GEO,,-89.98,35768,35806,0.000451,0.82,1436.13,4536,,8000,4/8/2003,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2003-012A,27711
MKA-FKI-1,Russia,Lavochkin Research and Production Association (Lavochkin NPO),Russia,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,805,821,0.00111,98.9,101.2,110,,220,7/22/2012,3,Lavochkin NPO,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039E,38711
MMS-1,NR,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,,Elliptical,,0,1375,70009,0.816,28.9,1433,1360,,,3/13/2015,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011A,40482
MMS-2,NR,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,,Elliptical,,0,1357,70117,0.816,29,1433,1360,,,3/13/2015,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011B,40483
MMS-3,NR,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,,Elliptical,,0,1429,70045,0.815,29,1433,1360,,,3/13/2015,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011C,40484
MMS-4,NR,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,,Elliptical,,0,1317,70157,0.817,29,1433,1360,,,3/13/2015,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011D,40485
Microvariability & Oscillations of Stars (MOST),Canada,Canadian Space Agency,Canada,Government,Space Science,,LEO,Sun-Synchronous,0,817,832,0.00104,98.7,101.4,53,53,35,6/30/2003,1 yr.,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,2003-031D,27843
Mozhayets 4,Russia,Mozhaisky Space Engineering Academy,Russia,Civil,Technology Development,,LEO,Sun-Synchronous,0,669,690,0.00149,97.8,98.3,64,,,9/27/2003,,Mozhaiskiy Space Engineering Academy,Russia,Plesetsk Cosmodrome,Kosmos 3M,2003-042A,27939
MSAT 1,Canada,Mobile Satellite Ventures,USA/Canada,Commercial,Communications,,GEO,,-106.43,35763,35809,0.000546,1.37,1436.09,2850,1330,3300,4/20/1996,12,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846
MSAT 2,USA,Mobile Satellite Ventures,USA/Canada,Commercial,Communications,,GEO,,-101.21,35776,35796,0.000237,4.02,1436.09,2850,1330,3300,4/7/1995,10,Hughes Communications Inc.,USA,Cape Canaveral,Atlas 2A,1995-019A,23553
Multispectral Thermal Imager (MTI),USA,US Department of Energy/Office of Nonproliferation and National Security,USA,Government/Military,Technology Development,,LEO,Sun-Synchronous,0,461,478,0.00124,97.47,94.9,587,,575,3/12/2000,3,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,2000-014A,26102
MTSAT-2,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Japan,Government,Earth Observation,Meteorology,GEO,,145.06,35776,35797,0.000249,0.01,1436.1,2900,1250,2700,2/18/2006,5,Mitsubishi Electric/Boeing/Alcatel,Japan,Tanegashima Space Center,H2A,2006-004A,28937
MUOS-1,USA,DoD/US Navy,USA,Military,Communications,,GEO,,-176.96,35569,36006,0.00518,3.73,1436.1,6804,,,2/24/2012,10-12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2012-009A,38093
MUOS-2,USA,DoD/US Navy,USA,Military,Communications,,GEO,,-100.1,35550,36023,0.00561,4.11,1436.1,6804,,,7/19/2013,10-12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2013-036A,39206
MUOS-3,USA,DoD/US Navy,USA,Military,Communications,,GEO,,-15.48,35576,35998,0.00501,4.57,1436.1,6804,3812,,1/21/2015,,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2015-002A,40374
MUOS-4,NR,DoD/US Navy,USA,Military,Communications,,GEO,,74.8,35576,35997,0.00499,4.8,1436.1,6804,,,9/2/2015,,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2015-044A,40887
MUOS-5,NR,DoD/US Navy,USA,Military,Communications,,GEO,,,35576,35998,0.00501,4.5,1436.1,6804,,,6/24/2016,,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2016-041A,41622
Nanosat-1,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Government,Communications,,LEO,Sun-Synchronous,0,654,659,0.000356,98.4,97.9,20,15,20,12/18/2004,,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493
Nanosat-1B,NR,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Government,Communications/Technology Development,,LEO,Sun-Synchronous,0,583,672,0.00636,98.1,97.3,20,15,20,7/29/2009,,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Baikonur Cosmodrome,Dnepr,2009-041E,35685
NATO-4B,USA,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,,GEO,,-35.05,35775,35795,0.000237,7.33,1436.04,1430,660,1200,12/8/1993,7,Matra Marconi,France,Cape Canaveral,Delta 2,1993-076A,22921
USA 213,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20188,20224,0.000677,55,718.94,1630,,,5/28/2010,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2010-022A,36585
USA 262,NR,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20446,20459,0.000242,54.9,728.96,1630,,1136,7/15/2015,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-033A,40730
USA 265,NR,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20426,20486,0.00112,55,97.7,1630,,,10/31/2015,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-062A,41019
USA 266,NR,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20175,20188,0.000245,55,717.9,1630,,,2/5/2016,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2016-007A,41328
USA 232,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20451,20464,0.000242,55.03,729.18,1630,,,7/16/2011,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2011-036A,37753
USA 239,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20174,20191,0.00032,54.95,718,1630,,1136,10/4/2012,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2012-053A,38833
USA 242,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20184,20247,0.00118,55.09,719.32,1630,,1136,5/15/2013,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-023A,39166
USA 248,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20457,20469,0.000224,54.98,729.39,1630,,1136,2/21/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-008A,39533
USA 251,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20174,20188,0.000264,55.05,717.92,1630,,1136,5/17/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-026A,39741
USA 256,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20471,20476,9.31E-05,54.92,729,1630,,1136,8/2/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-045A,40105
USA 258,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20155,20211,0.00105,54.97,718.02,1630,,1136,10/29/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-068A,40294
USA 260,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20445,20469,0.000447,55,729.14,1630,,1136,3/25/2015,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4M,2015-013A,40534
USA 175,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,19963,20327,0.00686,55.1,716.47,2217,980,1136,12/21/2003,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-058A,28129
USA 177,USA,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,20089,20276,0.00352,55,717.98,2217,980,1136,3/20/2004,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-009A,28190
